/home/debian/anaconda3/envs/jaxenv/bin/python /home/debian/PycharmProjects/PythonProject/WKLC-KWC_3D_Extension_ZigZag.py 
Placed 180/180 seeds.
Saved VTK at t = 0.820000, laser=(1.7625, 1.6550) to VTK/fields_001640.vtk
Saved VTK at t = 0.825000, laser=(1.7625, 1.6300) to VTK/fields_001650.vtk
Saved VTK at t = 0.830000, laser=(1.7625, 1.6050) to VTK/fields_001660.vtk
Saved VTK at t = 0.835000, laser=(1.7625, 1.5800) to VTK/fields_001670.vtk
Saved VTK at t = 0.840000, laser=(1.7625, 1.5550) to VTK/fields_001680.vtk
Saved VTK at t = 0.845000, laser=(1.7625, 1.5300) to VTK/fields_001690.vtk
Saved VTK at t = 0.850000, laser=(1.7625, 1.5050) to VTK/fields_001700.vtk
Saved VTK at t = 0.855000, laser=(1.7625, 1.4800) to VTK/fields_001710.vtk
Saved VTK at t = 0.860000, laser=(1.7625, 1.4550) to VTK/fields_001720.vtk
Saved VTK at t = 0.865000, laser=(1.7625, 1.4300) to VTK/fields_001730.vtk
Saved VTK at t = 0.870000, laser=(1.7625, 1.4050) to VTK/fields_001740.vtk
Saved VTK at t = 0.875000, laser=(1.7625, 1.3800) to VTK/fields_001750.vtk
Saved VTK at t = 0.880000, laser=(1.7625, 1.3550) to VTK/fields_001760.vtk
Saved VTK at t = 0.885000, laser=(1.7625, 1.3300) to VTK/fields_001770.vtk
Saved VTK at t = 0.890000, laser=(1.7625, 1.3050) to VTK/fields_001780.vtk
Saved VTK at t = 0.895000, laser=(1.7625, 1.2800) to VTK/fields_001790.vtk
Saved VTK at t = 0.900000, laser=(1.7625, 1.2550) to VTK/fields_001800.vtk
Saved VTK at t = 0.905000, laser=(1.7625, 1.2300) to VTK/fields_001810.vtk
Saved VTK at t = 0.910000, laser=(1.7625, 1.2050) to VTK/fields_001820.vtk
Saved VTK at t = 0.915000, laser=(1.7625, 1.1800) to VTK/fields_001830.vtk
Saved VTK at t = 0.920000, laser=(1.7625, 1.1550) to VTK/fields_001840.vtk
Saved VTK at t = 0.925000, laser=(1.7625, 1.1300) to VTK/fields_001850.vtk
Saved VTK at t = 0.930000, laser=(1.7625, 1.1050) to VTK/fields_001860.vtk
Saved VTK at t = 0.935000, laser=(1.7625, 1.0800) to VTK/fields_001870.vtk
Saved VTK at t = 0.940000, laser=(1.7625, 1.0550) to VTK/fields_001880.vtk
